1 2 3 4 5 6 7 8 9 10 11 12 13 
1 2 3 4 5 6 7 8 9 12 11 10 13 
1 2 3 4 5 6 7 10 9 8 11 12 13 
1 2 3 4 5 6 7 12 9 10 11 8 13 
1 2 3 4 5 8 7 6 9 10 11 12 13 
1 2 3 4 5 8 7 6 9 12 11 10 13 
1 2 3 4 5 10 7 8 9 6 11 12 13 
1 2 3 4 5 12 7 8 9 10 11 6 13 
1 2 3 4 5 12 7 10 9 8 11 6 13 
1 2 3 6 5 4 7 8 9 10 11 12 13 
1 2 3 6 5 4 7 8 9 12 11 10 13 
1 2 3 6 5 4 7 10 9 8 11 12 13 
1 2 3 6 5 4 7 12 9 10 11 8 13 
1 2 3 8 5 6 7 4 9 10 11 12 13 
1 2 3 8 5 6 7 4 9 12 11 10 13 
1 2 3 10 5 6 7 8 9 4 11 12 13 
1 2 3 10 5 8 7 6 9 4 11 12 13 
1 2 3 12 5 6 7 8 9 10 11 4 13 
1 2 3 12 5 6 7 10 9 8 11 4 13 
1 2 3 12 5 8 7 6 9 10 11 4 13 
1 2 3 12 5 10 7 8 9 6 11 4 13 
1 4 3 2 5 6 7 8 9 10 11 12 13 
1 4 3 2 5 6 7 8 9 12 11 10 13 
1 4 3 2 5 6 7 10 9 8 11 12 13 
1 4 3 2 5 6 7 12 9 10 11 8 13 
1 4 3 2 5 8 7 6 9 10 11 12 13 
1 4 3 2 5 8 7 6 9 12 11 10 13 
1 4 3 2 5 10 7 8 9 6 11 12 13 
1 4 3 2 5 12 7 8 9 10 11 6 13 
1 4 3 2 5 12 7 10 9 8 11 6 13 
1 6 3 4 5 2 7 8 9 10 11 12 13 
1 6 3 4 5 2 7 8 9 12 11 10 13 
1 6 3 4 5 2 7 10 9 8 11 12 13 
1 6 3 4 5 2 7 12 9 10 11 8 13 
1 8 3 4 5 6 7 2 9 10 11 12 13 
1 8 3 4 5 6 7 2 9 12 11 10 13 
1 8 3 6 5 4 7 2 9 10 11 12 13 
1 8 3 6 5 4 7 2 9 12 11 10 13 
1 10 3 4 5 6 7 8 9 2 11 12 13 
1 10 3 4 5 8 7 6 9 2 11 12 13 
1 10 3 6 5 4 7 8 9 2 11 12 13 
1 10 3 8 5 6 7 4 9 2 11 12 13 
1 12 3 4 5 6 7 8 9 10 11 2 13 
1 12 3 4 5 6 7 10 9 8 11 2 13 
1 12 3 4 5 8 7 6 9 10 11 2 13 
1 12 3 4 5 10 7 8 9 6 11 2 13 
1 12 3 6 5 4 7 8 9 10 11 2 13 
1 12 3 6 5 4 7 10 9 8 11 2 13 
1 12 3 8 5 6 7 4 9 10 11 2 13 
1 12 3 10 5 6 7 8 9 4 11 2 13 
1 12 3 10 5 8 7 6 9 4 11 2 13 
1 2 3 4 5 6 7 8 9 10 13 12 11 
1 2 3 4 5 6 7 10 9 8 13 12 11 
1 2 3 4 5 8 7 6 9 10 13 12 11 
1 2 3 4 5 10 7 8 9 6 13 12 11 
1 2 3 6 5 4 7 8 9 10 13 12 11 
1 2 3 6 5 4 7 10 9 8 13 12 11 
1 2 3 8 5 6 7 4 9 10 13 12 11 
1 2 3 10 5 6 7 8 9 4 13 12 11 
1 2 3 10 5 8 7 6 9 4 13 12 11 
1 4 3 2 5 6 7 8 9 10 13 12 11 
1 4 3 2 5 6 7 10 9 8 13 12 11 
1 4 3 2 5 8 7 6 9 10 13 12 11 
1 4 3 2 5 10 7 8 9 6 13 12 11 
1 6 3 4 5 2 7 8 9 10 13 12 11 
1 6 3 4 5 2 7 10 9 8 13 12 11 
1 8 3 4 5 6 7 2 9 10 13 12 11 
1 8 3 6 5 4 7 2 9 10 13 12 11 
1 10 3 4 5 6 7 8 9 2 13 12 11 
1 10 3 4 5 8 7 6 9 2 13 12 11 
1 10 3 6 5 4 7 8 9 2 13 12 11 
1 10 3 8 5 6 7 4 9 2 13 12 11 
1 2 3 4 5 6 7 8 11 10 9 12 13 
1 2 3 4 5 6 7 10 11 12 9 8 13 
1 2 3 4 5 6 7 12 11 8 9 10 13 
1 2 3 4 5 6 7 12 11 10 9 8 13 
1 2 3 4 5 8 7 6 11 10 9 12 13 
1 2 3 4 5 12 7 8 11 10 9 6 13 
1 2 3 6 5 4 7 8 11 10 9 12 13 
1 2 3 6 5 4 7 10 11 12 9 8 13 
1 2 3 6 5 4 7 12 11 8 9 10 13 
1 2 3 6 5 4 7 12 11 10 9 8 13 
1 2 3 8 5 6 7 4 11 10 9 12 13 
1 2 3 12 5 6 7 8 11 10 9 4 13 
1 2 3 12 5 8 7 6 11 10 9 4 13 
1 4 3 2 5 6 7 8 11 10 9 12 13 
1 4 3 2 5 6 7 10 11 12 9 8 13 
1 4 3 2 5 6 7 12 11 8 9 10 13 
1 4 3 2 5 6 7 12 11 10 9 8 13 
1 4 3 2 5 8 7 6 11 10 9 12 13 
1 4 3 2 5 12 7 8 11 10 9 6 13 
1 6 3 4 5 2 7 8 11 10 9 12 13 
1 6 3 4 5 2 7 10 11 12 9 8 13 
1 6 3 4 5 2 7 12 11 8 9 10 13 
1 6 3 4 5 2 7 12 11 10 9 8 13 
1 8 3 4 5 6 7 2 11 10 9 12 13 
1 8 3 6 5 4 7 2 11 10 9 12 13 
1 12 3 4 5 6 7 8 11 10 9 2 13 
1 12 3 4 5 8 7 6 11 10 9 2 13 
1 12 3 6 5 4 7 8 11 10 9 2 13 
1 12 3 8 5 6 7 4 11 10 9 2 13 
1 2 3 4 5 6 7 8 11 12 13 10 9 
1 2 3 4 5 8 7 6 11 12 13 10 9 
1 2 3 6 5 4 7 8 11 12 13 10 9 
1 2 3 8 5 6 7 4 11 12 13 10 9 
1 4 3 2 5 6 7 8 11 12 13 10 9 
1 4 3 2 5 8 7 6 11 12 13 10 9 
1 6 3 4 5 2 7 8 11 12 13 10 9 
1 8 3 4 5 6 7 2 11 12 13 10 9 
1 8 3 6 5 4 7 2 11 12 13 10 9 
1 2 3 4 5 6 7 8 13 12 9 10 11 
1 2 3 4 5 8 7 6 13 12 9 10 11 
1 2 3 6 5 4 7 8 13 12 9 10 11 
1 2 3 8 5 6 7 4 13 12 9 10 11 
1 4 3 2 5 6 7 8 13 12 9 10 11 
1 4 3 2 5 8 7 6 13 12 9 10 11 
1 6 3 4 5 2 7 8 13 12 9 10 11 
1 8 3 4 5 6 7 2 13 12 9 10 11 
1 8 3 6 5 4 7 2 13 12 9 10 11 
1 2 3 4 5 6 7 8 13 10 11 12 9 
1 2 3 4 5 6 7 8 13 12 11 10 9 
1 2 3 4 5 8 7 6 13 10 11 12 9 
1 2 3 4 5 8 7 6 13 12 11 10 9 
1 2 3 6 5 4 7 8 13 10 11 12 9 
1 2 3 6 5 4 7 8 13 12 11 10 9 
1 2 3 8 5 6 7 4 13 10 11 12 9 
1 2 3 8 5 6 7 4 13 12 11 10 9 
1 4 3 2 5 6 7 8 13 10 11 12 9 
1 4 3 2 5 6 7 8 13 12 11 10 9 
1 4 3 2 5 8 7 6 13 10 11 12 9 
1 4 3 2 5 8 7 6 13 12 11 10 9 
1 6 3 4 5 2 7 8 13 10 11 12 9 
1 6 3 4 5 2 7 8 13 12 11 10 9 
1 8 3 4 5 6 7 2 13 10 11 12 9 
1 8 3 4 5 6 7 2 13 12 11 10 9 
1 8 3 6 5 4 7 2 13 10 11 12 9 
1 8 3 6 5 4 7 2 13 12 11 10 9 
1 2 3 4 5 6 9 8 7 10 11 12 13 
1 2 3 4 5 6 9 8 7 12 11 10 13 
1 2 3 4 5 8 9 10 7 6 11 12 13 
1 2 3 4 5 10 9 6 7 8 11 12 13 
1 2 3 4 5 10 9 8 7 6 11 12 13 
1 2 3 4 5 12 9 8 7 10 11 6 13 
1 2 3 6 5 4 9 8 7 10 11 12 13 
1 2 3 6 5 4 9 8 7 12 11 10 13 
1 2 3 10 5 6 9 8 7 4 11 12 13 
1 2 3 12 5 6 9 8 7 10 11 4 13 
1 2 3 12 5 8 9 10 7 6 11 4 13 
1 2 3 12 5 10 9 6 7 8 11 4 13 
1 2 3 12 5 10 9 8 7 6 11 4 13 
1 4 3 2 5 6 9 8 7 10 11 12 13 
1 4 3 2 5 6 9 8 7 12 11 10 13 
1 4 3 2 5 8 9 10 7 6 11 12 13 
1 4 3 2 5 10 9 6 7 8 11 12 13 
1 4 3 2 5 10 9 8 7 6 11 12 13 
1 4 3 2 5 12 9 8 7 10 11 6 13 
1 6 3 4 5 2 9 8 7 10 11 12 13 
1 6 3 4 5 2 9 8 7 12 11 10 13 
1 10 3 4 5 6 9 8 7 2 11 12 13 
1 10 3 6 5 4 9 8 7 2 11 12 13 
1 12 3 4 5 6 9 8 7 10 11 2 13 
1 12 3 4 5 8 9 10 7 6 11 2 13 
1 12 3 4 5 10 9 6 7 8 11 2 13 
1 12 3 4 5 10 9 8 7 6 11 2 13 
1 12 3 6 5 4 9 8 7 10 11 2 13 
1 12 3 10 5 6 9 8 7 4 11 2 13 
1 2 3 4 5 6 9 8 7 10 13 12 11 
1 2 3 4 5 8 9 10 7 6 13 12 11 
1 2 3 4 5 10 9 6 7 8 13 12 11 
1 2 3 4 5 10 9 8 7 6 13 12 11 
1 2 3 6 5 4 9 8 7 10 13 12 11 
1 2 3 10 5 6 9 8 7 4 13 12 11 
1 4 3 2 5 6 9 8 7 10 13 12 11 
1 4 3 2 5 8 9 10 7 6 13 12 11 
1 4 3 2 5 10 9 6 7 8 13 12 11 
1 4 3 2 5 10 9 8 7 6 13 12 11 
1 6 3 4 5 2 9 8 7 10 13 12 11 
1 10 3 4 5 6 9 8 7 2 13 12 11 
1 10 3 6 5 4 9 8 7 2 13 12 11 
1 2 3 4 5 6 9 10 11 8 7 12 13 
1 2 3 4 5 8 9 10 11 12 7 6 13 
1 2 3 4 5 8 9 12 11 10 7 6 13 
1 2 3 4 5 10 9 8 11 12 7 6 13 
1 2 3 4 5 12 9 10 11 6 7 8 13 
1 2 3 4 5 12 9 10 11 8 7 6 13 
1 2 3 6 5 4 9 10 11 8 7 12 13 
1 2 3 12 5 6 9 10 11 8 7 4 13 
1 4 3 2 5 6 9 10 11 8 7 12 13 
1 4 3 2 5 8 9 10 11 12 7 6 13 
1 4 3 2 5 8 9 12 11 10 7 6 13 
1 4 3 2 5 10 9 8 11 12 7 6 13 
1 4 3 2 5 12 9 10 11 6 7 8 13 
1 4 3 2 5 12 9 10 11 8 7 6 13 
1 6 3 4 5 2 9 10 11 8 7 12 13 
1 12 3 4 5 6 9 10 11 8 7 2 13 
1 12 3 6 5 4 9 10 11 8 7 2 13 
1 2 3 4 5 6 9 10 11 12 13 8 7 
1 2 3 4 5 6 9 12 11 10 13 8 7 
1 2 3 6 5 4 9 10 11 12 13 8 7 
1 2 3 6 5 4 9 12 11 10 13 8 7 
1 4 3 2 5 6 9 10 11 12 13 8 7 
1 4 3 2 5 6 9 12 11 10 13 8 7 
1 6 3 4 5 2 9 10 11 12 13 8 7 
1 6 3 4 5 2 9 12 11 10 13 8 7 
1 2 3 4 5 10 9 6 13 12 7 8 11 
1 4 3 2 5 10 9 6 13 12 7 8 11 
1 2 3 4 5 6 9 10 13 12 11 8 7 
1 2 3 6 5 4 9 10 13 12 11 8 7 
1 4 3 2 5 6 9 10 13 12 11 8 7 
1 6 3 4 5 2 9 10 13 12 11 8 7 
1 2 3 4 5 6 11 10 7 8 9 12 13 
1 2 3 4 5 10 11 12 7 8 9 6 13 
1 2 3 4 5 12 11 6 7 8 9 10 13 
1 2 3 4 5 12 11 6 7 10 9 8 13 
1 2 3 4 5 12 11 8 7 6 9 10 13 
1 2 3 4 5 12 11 10 7 8 9 6 13 
1 2 3 6 5 4 11 10 7 8 9 12 13 
1 2 3 12 5 6 11 10 7 8 9 4 13 
1 4 3 2 5 6 11 10 7 8 9 12 13 
1 4 3 2 5 10 11 12 7 8 9 6 13 
1 4 3 2 5 12 11 6 7 8 9 10 13 
1 4 3 2 5 12 11 6 7 10 9 8 13 
1 4 3 2 5 12 11 8 7 6 9 10 13 
1 4 3 2 5 12 11 10 7 8 9 6 13 
1 6 3 4 5 2 11 10 7 8 9 12 13 
1 12 3 4 5 6 11 10 7 8 9 2 13 
1 12 3 6 5 4 11 10 7 8 9 2 13 
1 2 3 4 5 8 11 12 7 6 13 10 9 
1 4 3 2 5 8 11 12 7 6 13 10 9 
1 2 3 4 5 6 11 8 9 10 7 12 13 
1 2 3 4 5 6 11 10 9 8 7 12 13 
1 2 3 4 5 8 11 10 9 12 7 6 13 
1 2 3 4 5 10 11 12 9 6 7 8 13 
1 2 3 4 5 10 11 12 9 8 7 6 13 
1 2 3 4 5 12 11 6 9 8 7 10 13 
1 2 3 4 5 12 11 8 9 10 7 6 13 
1 2 3 4 5 12 11 10 9 6 7 8 13 
1 2 3 4 5 12 11 10 9 8 7 6 13 
1 2 3 6 5 4 11 8 9 10 7 12 13 
1 2 3 6 5 4 11 10 9 8 7 12 13 
1 2 3 12 5 6 11 8 9 10 7 4 13 
1 2 3 12 5 6 11 10 9 8 7 4 13 
1 4 3 2 5 6 11 8 9 10 7 12 13 
1 4 3 2 5 6 11 10 9 8 7 12 13 
1 4 3 2 5 8 11 10 9 12 7 6 13 
1 4 3 2 5 10 11 12 9 6 7 8 13 
1 4 3 2 5 10 11 12 9 8 7 6 13 
1 4 3 2 5 12 11 6 9 8 7 10 13 
1 4 3 2 5 12 11 8 9 10 7 6 13 
1 4 3 2 5 12 11 10 9 6 7 8 13 
1 4 3 2 5 12 11 10 9 8 7 6 13 
1 6 3 4 5 2 11 8 9 10 7 12 13 
1 6 3 4 5 2 11 10 9 8 7 12 13 
1 12 3 4 5 6 11 8 9 10 7 2 13 
1 12 3 4 5 6 11 10 9 8 7 2 13 
1 12 3 6 5 4 11 8 9 10 7 2 13 
1 12 3 6 5 4 11 10 9 8 7 2 13 
1 2 3 4 5 6 11 10 9 12 13 8 7 
1 2 3 6 5 4 11 10 9 12 13 8 7 
